Series,date,value,period
Global Inflation,2014-10-01,237.43,
Global Inflation,2014-11-01,236.983,
Global Inflation,2014-12-01,236.252,
Global Inflation,2015-01-01,234.747,
Global Inflation,2015-02-01,235.342,
Global Inflation,2015-03-01,235.976,
Global Inflation,2015-04-01,236.222,
Global Inflation,2015-05-01,237.001,
Global Inflation,2015-06-01,237.657,
Global Inflation,2015-07-01,238.034,
Global Inflation,2015-08-01,238.033,
Global Inflation,2015-09-01,237.498,
Global Inflation,2015-10-01,237.733,
Global Inflation,2015-11-01,238.017,
Global Inflation,2015-12-01,237.761,
Global Inflation,2016-01-01,237.652,
Global Inflation,2016-02-01,237.336,
Global Inflation,2016-03-01,238.08,
Global Inflation,2016-04-01,238.992,
Global Inflation,2016-05-01,239.557,
Global Inflation,2016-06-01,240.222,
Global Inflation,2016-07-01,240.101,
Global Inflation,2016-08-01,240.545,
Global Inflation,2016-09-01,241.176,
Global Inflation,2016-10-01,241.741,
Global Inflation,2016-11-01,242.026,
Global Inflation,2016-12-01,242.637,
Global Inflation,2017-01-01,243.618,
Global Inflation,2017-02-01,244.006,
Global Inflation,2017-03-01,243.892,
Global Inflation,2017-04-01,244.193,
Global Inflation,2017-05-01,244.004,
Global Inflation,2017-06-01,244.163,
Global Inflation,2017-07-01,244.243,
Global Inflation,2017-08-01,245.183,
Global Inflation,2017-09-01,246.435,
Global Inflation,2017-10-01,246.626,
Global Inflation,2017-11-01,247.284,
Global Inflation,2017-12-01,247.805,
Global Inflation,2018-01-01,248.859,
Global Inflation,2018-02-01,249.529,
Global Inflation,2018-03-01,249.577,
Global Inflation,2018-04-01,250.227,
Global Inflation,2018-05-01,250.792,
Global Inflation,2018-06-01,251.018,
Global Inflation,2018-07-01,251.214,
Global Inflation,2018-08-01,251.663,
Global Inflation,2018-09-01,252.182,
Global Inflation,2018-10-01,252.772,
Global Inflation,2018-11-01,252.594,
Global Inflation,2018-12-01,252.767,
Global Inflation,2019-01-01,252.561,
Global Inflation,2019-02-01,253.319,
Global Inflation,2019-03-01,254.277,
Global Inflation,2019-04-01,255.233,
Global Inflation,2019-05-01,255.296,
Global Inflation,2019-06-01,255.213,
Global Inflation,2019-07-01,255.802,
Global Inflation,2019-08-01,256.036,
Global Inflation,2019-09-01,256.43,
Global Inflation,2019-10-01,257.155,
Global Inflation,2019-11-01,257.879,
Global Inflation,2019-12-01,258.63,
Global Inflation,2020-01-01,258.906,
Global Inflation,2020-02-01,259.246,
Global Inflation,2020-03-01,258.15,
Global Inflation,2020-04-01,256.126,
Global Inflation,2020-05-01,255.848,
Global Inflation,2020-06-01,257.004,
Global Inflation,2020-07-01,258.408,
Global Inflation,2020-08-01,259.366,
Global Inflation,2020-09-01,259.951,
Global Inflation,2020-10-01,260.249,
Global Inflation,2020-11-01,260.895,
Global Inflation,2020-12-01,262.005,
Global Inflation,2021-01-01,262.518,
Global Inflation,2021-02-01,263.583,
Global Inflation,2021-03-01,264.91,
Global Inflation,2021-04-01,266.752,
Global Inflation,2021-05-01,268.452,
Global Inflation,2021-06-01,270.664,
Global Inflation,2021-07-01,271.994,
Global Inflation,2021-08-01,272.789,
Global Inflation,2021-09-01,273.887,
Global Inflation,2021-10-01,276.434,
Global Inflation,2021-11-01,278.799,
Global Inflation,2021-12-01,280.808,
Global Inflation,2022-01-01,282.39,
Global Inflation,2022-02-01,284.535,
Global Inflation,2022-03-01,287.553,
Global Inflation,2022-04-01,288.764,
Global Inflation,2022-05-01,291.359,
Global Inflation,2022-06-01,294.996,
Global Inflation,2022-07-01,294.977,
Global Inflation,2022-08-01,295.209,
Global Inflation,2022-09-01,296.341,
Global Inflation,2022-10-01,297.863,
Global Inflation,2022-11-01,298.648,
Global Inflation,2022-12-01,298.812,
Global Inflation,2023-01-01,300.356,
Global Inflation,2023-02-01,301.509,
Global Inflation,2023-03-01,301.744,
Global Inflation,2023-04-01,303.032,
Global Inflation,2023-05-01,303.365,
Global Inflation,2023-06-01,304.003,
Global Inflation,2023-07-01,304.628,
Global Inflation,2023-08-01,306.187,
Global Inflation,2023-09-01,307.288,
Global Inflation,2023-10-01,307.531,
Global Inflation,2023-11-01,308.024,
Global Inflation,2023-12-01,308.742,
Global Inflation,2024-01-01,309.685,
U.S. Unemployment,2000-01-01,4.0,
U.S. Unemployment,2000-02-01,4.1,
U.S. Unemployment,2000-03-01,4.0,
U.S. Unemployment,2000-04-01,3.8,
U.S. Unemployment,2000-05-01,4.0,
U.S. Unemployment,2000-06-01,4.0,
U.S. Unemployment,2000-07-01,4.0,
U.S. Unemployment,2000-08-01,4.1,
U.S. Unemployment,2000-09-01,3.9,
U.S. Unemployment,2000-10-01,3.9,
U.S. Unemployment,2000-11-01,3.9,
U.S. Unemployment,2000-12-01,3.9,
U.S. Unemployment,2001-01-01,4.2,
U.S. Unemployment,2001-02-01,4.2,
U.S. Unemployment,2001-03-01,4.3,
U.S. Unemployment,2001-04-01,4.4,
U.S. Unemployment,2001-05-01,4.3,
U.S. Unemployment,2001-06-01,4.5,
U.S. Unemployment,2001-07-01,4.6,
U.S. Unemployment,2001-08-01,4.9,
U.S. Unemployment,2001-09-01,5.0,
U.S. Unemployment,2001-10-01,5.3,
U.S. Unemployment,2001-11-01,5.5,
U.S. Unemployment,2001-12-01,5.7,
U.S. Unemployment,2002-01-01,5.7,
U.S. Unemployment,2002-02-01,5.7,
U.S. Unemployment,2002-03-01,5.7,
U.S. Unemployment,2002-04-01,5.9,
U.S. Unemployment,2002-05-01,5.8,
U.S. Unemployment,2002-06-01,5.8,
U.S. Unemployment,2002-07-01,5.8,
U.S. Unemployment,2002-08-01,5.7,
U.S. Unemployment,2002-09-01,5.7,
U.S. Unemployment,2002-10-01,5.7,
U.S. Unemployment,2002-11-01,5.9,
U.S. Unemployment,2002-12-01,6.0,
U.S. Unemployment,2003-01-01,5.8,
U.S. Unemployment,2003-02-01,5.9,
U.S. Unemployment,2003-03-01,5.9,
U.S. Unemployment,2003-04-01,6.0,
U.S. Unemployment,2003-05-01,6.1,
U.S. Unemployment,2003-06-01,6.3,
U.S. Unemployment,2003-07-01,6.2,
U.S. Unemployment,2003-08-01,6.1,
U.S. Unemployment,2003-09-01,6.1,
U.S. Unemployment,2003-10-01,6.0,
U.S. Unemployment,2003-11-01,5.8,
U.S. Unemployment,2003-12-01,5.7,
U.S. Unemployment,2004-01-01,5.7,
U.S. Unemployment,2004-02-01,5.6,
U.S. Unemployment,2004-03-01,5.8,
U.S. Unemployment,2004-04-01,5.6,
U.S. Unemployment,2004-05-01,5.6,
U.S. Unemployment,2004-06-01,5.6,
U.S. Unemployment,2004-07-01,5.5,
U.S. Unemployment,2004-08-01,5.4,
U.S. Unemployment,2004-09-01,5.4,
U.S. Unemployment,2004-10-01,5.5,
U.S. Unemployment,2004-11-01,5.4,
U.S. Unemployment,2004-12-01,5.4,
U.S. Unemployment,2005-01-01,5.3,
U.S. Unemployment,2005-02-01,5.4,
U.S. Unemployment,2005-03-01,5.2,
U.S. Unemployment,2005-04-01,5.2,
U.S. Unemployment,2005-05-01,5.1,
U.S. Unemployment,2005-06-01,5.0,
U.S. Unemployment,2005-07-01,5.0,
U.S. Unemployment,2005-08-01,4.9,
U.S. Unemployment,2005-09-01,5.0,
U.S. Unemployment,2005-10-01,5.0,
U.S. Unemployment,2005-11-01,5.0,
U.S. Unemployment,2005-12-01,4.9,
U.S. Unemployment,2006-01-01,4.7,
U.S. Unemployment,2006-02-01,4.8,
U.S. Unemployment,2006-03-01,4.7,
U.S. Unemployment,2006-04-01,4.7,
U.S. Unemployment,2006-05-01,4.6,
U.S. Unemployment,2006-06-01,4.6,
U.S. Unemployment,2006-07-01,4.7,
U.S. Unemployment,2006-08-01,4.7,
U.S. Unemployment,2006-09-01,4.5,
U.S. Unemployment,2006-10-01,4.4,
U.S. Unemployment,2006-11-01,4.5,
U.S. Unemployment,2006-12-01,4.4,
U.S. Unemployment,2007-01-01,4.6,
U.S. Unemployment,2007-02-01,4.5,
U.S. Unemployment,2007-03-01,4.4,
U.S. Unemployment,2007-04-01,4.5,
U.S. Unemployment,2007-05-01,4.4,
U.S. Unemployment,2007-06-01,4.6,
U.S. Unemployment,2007-07-01,4.7,
U.S. Unemployment,2007-08-01,4.6,
U.S. Unemployment,2007-09-01,4.7,
U.S. Unemployment,2007-10-01,4.7,
U.S. Unemployment,2007-11-01,4.7,
U.S. Unemployment,2007-12-01,5.0,
U.S. Unemployment,2008-01-01,5.0,
U.S. Unemployment,2008-02-01,4.9,
U.S. Unemployment,2008-03-01,5.1,
U.S. Unemployment,2008-04-01,5.0,
U.S. Unemployment,2008-05-01,5.4,
U.S. Unemployment,2008-06-01,5.6,
U.S. Unemployment,2008-07-01,5.8,
U.S. Unemployment,2008-08-01,6.1,
U.S. Unemployment,2008-09-01,6.1,
U.S. Unemployment,2008-10-01,6.5,
U.S. Unemployment,2008-11-01,6.8,
U.S. Unemployment,2008-12-01,7.3,
U.S. Unemployment,2009-01-01,7.8,
U.S. Unemployment,2009-02-01,8.3,
U.S. Unemployment,2009-03-01,8.7,
U.S. Unemployment,2009-04-01,9.0,
U.S. Unemployment,2009-05-01,9.4,
U.S. Unemployment,2009-06-01,9.5,
U.S. Unemployment,2009-07-01,9.5,
U.S. Unemployment,2009-08-01,9.6,
U.S. Unemployment,2009-09-01,9.8,
U.S. Unemployment,2009-10-01,10.0,
U.S. Unemployment,2009-11-01,9.9,
U.S. Unemployment,2009-12-01,9.9,
U.S. Unemployment,2010-01-01,9.8,
U.S. Unemployment,2010-02-01,9.8,
U.S. Unemployment,2010-03-01,9.9,
U.S. Unemployment,2010-04-01,9.9,
U.S. Unemployment,2010-05-01,9.6,
U.S. Unemployment,2010-06-01,9.4,
U.S. Unemployment,2010-07-01,9.4,
U.S. Unemployment,2010-08-01,9.5,
U.S. Unemployment,2010-09-01,9.5,
U.S. Unemployment,2010-10-01,9.4,
U.S. Unemployment,2010-11-01,9.8,
U.S. Unemployment,2010-12-01,9.3,
U.S. Unemployment,2011-01-01,9.1,
U.S. Unemployment,2011-02-01,9.0,
U.S. Unemployment,2011-03-01,9.0,
U.S. Unemployment,2011-04-01,9.1,
U.S. Unemployment,2011-05-01,9.0,
U.S. Unemployment,2011-06-01,9.1,
U.S. Unemployment,2011-07-01,9.0,
U.S. Unemployment,2011-08-01,9.0,
U.S. Unemployment,2011-09-01,9.0,
U.S. Unemployment,2011-10-01,8.8,
U.S. Unemployment,2011-11-01,8.6,
U.S. Unemployment,2011-12-01,8.5,
U.S. Unemployment,2012-01-01,8.3,
U.S. Unemployment,2012-02-01,8.3,
U.S. Unemployment,2012-03-01,8.2,
U.S. Unemployment,2012-04-01,8.2,
U.S. Unemployment,2012-05-01,8.2,
U.S. Unemployment,2012-06-01,8.2,
U.S. Unemployment,2012-07-01,8.2,
U.S. Unemployment,2012-08-01,8.1,
U.S. Unemployment,2012-09-01,7.8,
U.S. Unemployment,2012-10-01,7.8,
U.S. Unemployment,2012-11-01,7.7,
U.S. Unemployment,2012-12-01,7.9,
U.S. Unemployment,2013-01-01,8.0,
U.S. Unemployment,2013-02-01,7.7,
U.S. Unemployment,2013-03-01,7.5,
U.S. Unemployment,2013-04-01,7.6,
U.S. Unemployment,2013-05-01,7.5,
U.S. Unemployment,2013-06-01,7.5,
U.S. Unemployment,2013-07-01,7.3,
U.S. Unemployment,2013-08-01,7.2,
U.S. Unemployment,2013-09-01,7.2,
U.S. Unemployment,2013-10-01,7.2,
U.S. Unemployment,2013-11-01,6.9,
U.S. Unemployment,2013-12-01,6.7,
U.S. Unemployment,2014-01-01,6.6,
U.S. Unemployment,2014-02-01,6.7,
U.S. Unemployment,2014-03-01,6.7,
U.S. Unemployment,2014-04-01,6.2,
U.S. Unemployment,2014-05-01,6.3,
U.S. Unemployment,2014-06-01,6.1,
U.S. Unemployment,2014-07-01,6.2,
U.S. Unemployment,2014-08-01,6.1,
U.S. Unemployment,2014-09-01,5.9,
U.S. Unemployment,2014-10-01,5.7,
U.S. Unemployment,2014-11-01,5.8,
U.S. Unemployment,2014-12-01,5.6,
U.S. Unemployment,2015-01-01,5.7,
U.S. Unemployment,2015-02-01,5.5,
U.S. Unemployment,2015-03-01,5.4,
U.S. Unemployment,2015-04-01,5.4,
U.S. Unemployment,2015-05-01,5.6,
U.S. Unemployment,2015-06-01,5.3,
U.S. Unemployment,2015-07-01,5.2,
U.S. Unemployment,2015-08-01,5.1,
U.S. Unemployment,2015-09-01,5.0,
U.S. Unemployment,2015-10-01,5.0,
U.S. Unemployment,2015-11-01,5.1,
U.S. Unemployment,2015-12-01,5.0,
U.S. Unemployment,2016-01-01,4.8,
U.S. Unemployment,2016-02-01,4.9,
U.S. Unemployment,2016-03-01,5.0,
U.S. Unemployment,2016-04-01,5.1,
U.S. Unemployment,2016-05-01,4.8,
U.S. Unemployment,2016-06-01,4.9,
U.S. Unemployment,2016-07-01,4.8,
U.S. Unemployment,2016-08-01,4.9,
U.S. Unemployment,2016-09-01,5.0,
U.S. Unemployment,2016-10-01,4.9,
U.S. Unemployment,2016-11-01,4.7,
U.S. Unemployment,2016-12-01,4.7,
U.S. Unemployment,2017-01-01,4.7,
U.S. Unemployment,2017-02-01,4.6,
U.S. Unemployment,2017-03-01,4.4,
U.S. Unemployment,2017-04-01,4.4,
U.S. Unemployment,2017-05-01,4.4,
U.S. Unemployment,2017-06-01,4.3,
U.S. Unemployment,2017-07-01,4.3,
U.S. Unemployment,2017-08-01,4.4,
U.S. Unemployment,2017-09-01,4.3,
U.S. Unemployment,2017-10-01,4.2,
U.S. Unemployment,2017-11-01,4.2,
U.S. Unemployment,2017-12-01,4.1,
U.S. Unemployment,2018-01-01,4.0,
U.S. Unemployment,2018-02-01,4.1,
U.S. Unemployment,2018-03-01,4.0,
U.S. Unemployment,2018-04-01,4.0,
U.S. Unemployment,2018-05-01,3.8,
U.S. Unemployment,2018-06-01,4.0,
U.S. Unemployment,2018-07-01,3.8,
U.S. Unemployment,2018-08-01,3.8,
U.S. Unemployment,2018-09-01,3.7,
U.S. Unemployment,2018-10-01,3.8,
U.S. Unemployment,2018-11-01,3.8,
U.S. Unemployment,2018-12-01,3.9,
U.S. Unemployment,2019-01-01,4.0,
U.S. Unemployment,2019-02-01,3.8,
U.S. Unemployment,2019-03-01,3.8,
U.S. Unemployment,2019-04-01,3.7,
U.S. Unemployment,2019-05-01,3.6,
U.S. Unemployment,2019-06-01,3.6,
U.S. Unemployment,2019-07-01,3.7,
U.S. Unemployment,2019-08-01,3.6,
U.S. Unemployment,2019-09-01,3.5,
U.S. Unemployment,2019-10-01,3.6,
U.S. Unemployment,2019-11-01,3.6,
U.S. Unemployment,2019-12-01,3.6,
U.S. Unemployment,2020-01-01,3.6,
U.S. Unemployment,2020-02-01,3.5,
U.S. Unemployment,2020-03-01,4.4,
U.S. Unemployment,2020-04-01,14.8,
U.S. Unemployment,2020-05-01,13.2,
U.S. Unemployment,2020-06-01,11.0,
U.S. Unemployment,2020-07-01,10.2,
U.S. Unemployment,2020-08-01,8.4,
U.S. Unemployment,2020-09-01,7.8,
U.S. Unemployment,2020-10-01,6.8,
U.S. Unemployment,2020-11-01,6.7,
U.S. Unemployment,2020-12-01,6.7,
U.S. Unemployment,2021-01-01,6.4,
U.S. Unemployment,2021-02-01,6.2,
U.S. Unemployment,2021-03-01,6.1,
U.S. Unemployment,2021-04-01,6.1,
U.S. Unemployment,2021-05-01,5.8,
U.S. Unemployment,2021-06-01,5.9,
U.S. Unemployment,2021-07-01,5.4,
U.S. Unemployment,2021-08-01,5.1,
U.S. Unemployment,2021-09-01,4.7,
U.S. Unemployment,2021-10-01,4.5,
U.S. Unemployment,2021-11-01,4.1,
U.S. Unemployment,2021-12-01,3.9,
U.S. Unemployment,2022-01-01,4.0,
U.S. Unemployment,2022-02-01,3.8,
U.S. Unemployment,2022-03-01,3.6,
U.S. Unemployment,2022-04-01,3.7,
U.S. Unemployment,2022-05-01,3.6,
U.S. Unemployment,2022-06-01,3.6,
U.S. Unemployment,2022-07-01,3.5,
U.S. Unemployment,2022-08-01,3.6,
U.S. Unemployment,2022-09-01,3.5,
U.S. Unemployment,2022-10-01,3.6,
U.S. Unemployment,2022-11-01,3.6,
U.S. Unemployment,2022-12-01,3.5,
U.S. Unemployment,2023-01-01,3.4,
U.S. Unemployment,2023-02-01,3.6,
U.S. Unemployment,2023-03-01,3.5,
U.S. Unemployment,2023-04-01,3.4,
U.S. Unemployment,2023-05-01,3.7,
U.S. Unemployment,2023-06-01,3.6,
U.S. Unemployment,2023-07-01,3.5,
U.S. Unemployment,2023-08-01,3.8,
U.S. Unemployment,2023-09-01,3.8,
U.S. Unemployment,2023-10-01,3.8,
U.S. Unemployment,2023-11-01,3.7,
U.S. Unemployment,2023-12-01,3.7,
U.S. Unemployment,2024-01-01,3.7,
U.S. Interest Rate,2000-01-01,5.45,
U.S. Interest Rate,2000-02-01,5.73,
U.S. Interest Rate,2000-03-01,5.85,
U.S. Interest Rate,2000-04-01,6.02,
U.S. Interest Rate,2000-05-01,6.27,
U.S. Interest Rate,2000-06-01,6.53,
U.S. Interest Rate,2000-07-01,6.54,
U.S. Interest Rate,2000-08-01,6.5,
U.S. Interest Rate,2000-09-01,6.52,
U.S. Interest Rate,2000-10-01,6.51,
U.S. Interest Rate,2000-11-01,6.51,
U.S. Interest Rate,2000-12-01,6.4,
U.S. Interest Rate,2001-01-01,5.98,
U.S. Interest Rate,2001-02-01,5.49,
U.S. Interest Rate,2001-03-01,5.31,
U.S. Interest Rate,2001-04-01,4.8,
U.S. Interest Rate,2001-05-01,4.21,
U.S. Interest Rate,2001-06-01,3.97,
U.S. Interest Rate,2001-07-01,3.77,
U.S. Interest Rate,2001-08-01,3.65,
U.S. Interest Rate,2001-09-01,3.07,
U.S. Interest Rate,2001-10-01,2.49,
U.S. Interest Rate,2001-11-01,2.09,
U.S. Interest Rate,2001-12-01,1.82,
U.S. Interest Rate,2002-01-01,1.73,
U.S. Interest Rate,2002-02-01,1.74,
U.S. Interest Rate,2002-03-01,1.73,
U.S. Interest Rate,2002-04-01,1.75,
U.S. Interest Rate,2002-05-01,1.75,
U.S. Interest Rate,2002-06-01,1.75,
U.S. Interest Rate,2002-07-01,1.73,
U.S. Interest Rate,2002-08-01,1.74,
U.S. Interest Rate,2002-09-01,1.75,
U.S. Interest Rate,2002-10-01,1.75,
U.S. Interest Rate,2002-11-01,1.34,
U.S. Interest Rate,2002-12-01,1.24,
U.S. Interest Rate,2003-01-01,1.24,
U.S. Interest Rate,2003-02-01,1.26,
U.S. Interest Rate,2003-03-01,1.25,
U.S. Interest Rate,2003-04-01,1.26,
U.S. Interest Rate,2003-05-01,1.26,
U.S. Interest Rate,2003-06-01,1.22,
U.S. Interest Rate,2003-07-01,1.01,
U.S. Interest Rate,2003-08-01,1.03,
U.S. Interest Rate,2003-09-01,1.01,
U.S. Interest Rate,2003-10-01,1.01,
U.S. Interest Rate,2003-11-01,1.0,
U.S. Interest Rate,2003-12-01,0.98,
U.S. Interest Rate,2004-01-01,1.0,
U.S. Interest Rate,2004-02-01,1.01,
U.S. Interest Rate,2004-03-01,1.0,
U.S. Interest Rate,2004-04-01,1.0,
U.S. Interest Rate,2004-05-01,1.0,
U.S. Interest Rate,2004-06-01,1.03,
U.S. Interest Rate,2004-07-01,1.26,
U.S. Interest Rate,2004-08-01,1.43,
U.S. Interest Rate,2004-09-01,1.61,
U.S. Interest Rate,2004-10-01,1.76,
U.S. Interest Rate,2004-11-01,1.93,
U.S. Interest Rate,2004-12-01,2.16,
U.S. Interest Rate,2005-01-01,2.28,
U.S. Interest Rate,2005-02-01,2.5,
U.S. Interest Rate,2005-03-01,2.63,
U.S. Interest Rate,2005-04-01,2.79,
U.S. Interest Rate,2005-05-01,3.0,
U.S. Interest Rate,2005-06-01,3.04,
U.S. Interest Rate,2005-07-01,3.26,
U.S. Interest Rate,2005-08-01,3.5,
U.S. Interest Rate,2005-09-01,3.62,
U.S. Interest Rate,2005-10-01,3.78,
U.S. Interest Rate,2005-11-01,4.0,
U.S. Interest Rate,2005-12-01,4.16,
U.S. Interest Rate,2006-01-01,4.29,
U.S. Interest Rate,2006-02-01,4.49,
U.S. Interest Rate,2006-03-01,4.59,
U.S. Interest Rate,2006-04-01,4.79,
U.S. Interest Rate,2006-05-01,4.94,
U.S. Interest Rate,2006-06-01,4.99,
U.S. Interest Rate,2006-07-01,5.24,
U.S. Interest Rate,2006-08-01,5.25,
U.S. Interest Rate,2006-09-01,5.25,
U.S. Interest Rate,2006-10-01,5.25,
U.S. Interest Rate,2006-11-01,5.25,
U.S. Interest Rate,2006-12-01,5.24,
U.S. Interest Rate,2007-01-01,5.25,
U.S. Interest Rate,2007-02-01,5.26,
U.S. Interest Rate,2007-03-01,5.26,
U.S. Interest Rate,2007-04-01,5.25,
U.S. Interest Rate,2007-05-01,5.25,
U.S. Interest Rate,2007-06-01,5.25,
U.S. Interest Rate,2007-07-01,5.26,
U.S. Interest Rate,2007-08-01,5.02,
